rank,name,owner,description,language,stars,stars_since,forks,topics,url,crawl_time,since,page
1,Lum1104/Understand-Anything,Lum1104,"Graphs that teach > graphs that impress. Turn any code into an interactive knowledge graph you can explore, search, and ask questions about. Works with Claude Code, Codex, Cursor, Copilot, Gemini CLI, and more.",TypeScript,29064,3999,2430,,https://github.com/Lum1104/Understand-Anything,2026-05-25T11:35:24.637846+00:00,daily,all
2,anthropics/knowledge-work-plugins,anthropics,Open source repository of plugins primarily intended for knowledge workers to use in Claude Cowork,Python,14565,550,1790,,https://github.com/anthropics/knowledge-work-plugins,2026-05-25T11:35:24.638702+00:00,daily,all
3,rohitg00/ai-engineering-from-scratch,rohitg00,Learn it. Build it. Ship it for others.,Python,17708,1853,3028,,https://github.com/rohitg00/ai-engineering-from-scratch,2026-05-25T11:35:24.639662+00:00,daily,all
4,affaan-m/ECC,affaan-m,"The agent harness performance optimization system. Skills, instincts, memory, security, and research-first development for Claude Code, Codex, Opencode, Cursor and beyond.",JavaScript,191607,2052,29664,,https://github.com/affaan-m/ECC,2026-05-25T11:35:24.640476+00:00,daily,all
5,mukul975/Anthropic-Cybersecurity-Skills,mukul975,"754 structured cybersecurity skills for AI agents · Mapped to 5 frameworks: MITRE ATT&CK, NIST CSF 2.0, MITRE ATLAS, D3FEND & NIST AI RMF · agentskills.io standard · Works with Claude Code, GitHub Copilot, Codex CLI, Cursor, Gemini CLI & 20+ platforms · 26 security domains · Apache 2.0",Python,8805,930,1090,,https://github.com/mukul975/Anthropic-Cybersecurity-Skills,2026-05-25T11:35:24.641248+00:00,daily,all
6,colbymchenry/codegraph,colbymchenry,"Pre-indexed code knowledge graph for Claude Code, Codex, Cursor, OpenCode, and Hermes Agent — fewer tokens, fewer tool calls, 100% local",TypeScript,23986,3003,1317,,https://github.com/colbymchenry/codegraph,2026-05-25T11:35:24.641953+00:00,daily,all
7,manaflow-ai/cmux,manaflow-ai,Ghostty-based macOS terminal with vertical tabs and notifications for AI coding agents,Swift,19282,696,1461,,https://github.com/manaflow-ai/cmux,2026-05-25T11:35:24.642831+00:00,daily,all
8,multica-ai/andrej-karpathy-skills,multica-ai,"A single CLAUDE.md file to improve Claude Code behavior, derived from Andrej Karpathy's observations on LLM coding pitfalls.",,153448,2551,15723,,https://github.com/multica-ai/andrej-karpathy-skills,2026-05-25T11:35:24.643560+00:00,daily,all
9,Fincept-Corporation/FinceptTerminal,Fincept-Corporation,"FinceptTerminal is a modern finance application offering advanced market analytics, investment research, and economic data tools, designed for interactive exploration and data-driven decision-making in a user-friendly environment.",Python,23631,462,3263,,https://github.com/Fincept-Corporation/FinceptTerminal,2026-05-25T11:35:24.644373+00:00,daily,all
10,paperless-ngx/paperless-ngx,paperless-ngx,"A community-supported supercharged document management system: scan, index and archive all your documents",Python,41111,151,2728,,https://github.com/paperless-ngx/paperless-ngx,2026-05-25T11:35:24.645378+00:00,daily,all
11,anthropics/claude-cookbooks,anthropics,A collection of notebooks/recipes showcasing some fun and effective ways of using Claude.,Jupyter Notebook,43821,108,5031,,https://github.com/anthropics/claude-cookbooks,2026-05-25T11:35:24.646248+00:00,daily,all
