rank,name,owner,description,language,stars,stars_since,forks,topics,url,crawl_time,since,page
1,mattpocock/skills,mattpocock,Skills for Real Engineers. Straight from my .claude directory.,Shell,90218,72549,7907,,https://github.com/mattpocock/skills,2026-05-18T08:35:36.836999+00:00,monthly,all
2,Alishahryar1/free-claude-code,Alishahryar1,"Use claude-code for free in the terminal, VSCode extension or discord like OpenClaw (voice supported)",Python,25347,23360,3778,,https://github.com/Alishahryar1/free-claude-code,2026-05-18T08:35:36.837426+00:00,monthly,all
3,multica-ai/andrej-karpathy-skills,multica-ai,"A single CLAUDE.md file to improve Claude Code behavior, derived from Andrej Karpathy's observations on LLM coding pitfalls.",,134905,80814,13808,,https://github.com/multica-ai/andrej-karpathy-skills,2026-05-18T08:35:36.837762+00:00,monthly,all
4,Fincept-Corporation/FinceptTerminal,Fincept-Corporation,"FinceptTerminal is a modern finance application offering advanced market analytics, investment research, and economic data tools, designed for interactive exploration and data-driven decision-making in a user-friendly environment.",Python,21489,18300,2905,,https://github.com/Fincept-Corporation/FinceptTerminal,2026-05-18T08:35:36.838127+00:00,monthly,all
5,AIDC-AI/Pixelle-Video,AIDC-AI,🚀 AI 全自动短视频引擎 | AI Fully Automated Short Video Engine,Python,17910,13649,2570,,https://github.com/AIDC-AI/Pixelle-Video,2026-05-18T08:35:36.838447+00:00,monthly,all
6,heygen-com/hyperframes,heygen-com,Write HTML. Render video. Built for agents.,TypeScript,19157,17005,1795,,https://github.com/heygen-com/hyperframes,2026-05-18T08:35:36.838742+00:00,monthly,all
7,ComposioHQ/awesome-codex-skills,ComposioHQ,A curated list of practical Codex skills for automating workflows across the Codex CLI and API.,Python,10360,9458,954,,https://github.com/ComposioHQ/awesome-codex-skills,2026-05-18T08:35:36.839030+00:00,monthly,all
8,anthropics/financial-services,anthropics,,Python,24798,16660,3426,,https://github.com/anthropics/financial-services,2026-05-18T08:35:36.839300+00:00,monthly,all
9,Z4nzu/hackingtool,Z4nzu,ALL IN ONE Hacking Tool For Hackers,Python,75204,17238,8479,,https://github.com/Z4nzu/hackingtool,2026-05-18T08:35:36.839663+00:00,monthly,all
10,soxoj/maigret,soxoj,🕵️‍♂️ Collect a dossier on a person by username from 3000+ sites,Python,29250,9724,2094,,https://github.com/soxoj/maigret,2026-05-18T08:35:36.839980+00:00,monthly,all
