rank,name,owner,description,language,stars,stars_since,forks,topics,url,crawl_time,since,page
1,CloakHQ/CloakBrowser,CloakHQ,Stealth Chromium that passes every bot detection test. Drop-in Playwright replacement with source-level fingerprint patches. 30/30 tests passed.,Python,14274,9007,1106,,https://github.com/CloakHQ/CloakBrowser,2026-05-18T08:34:22.531977+00:00,weekly,all
2,rohitg00/agentmemory,rohitg00,#1 Persistent memory for AI coding agents based on real-world benchmarks,TypeScript,11789,7103,996,,https://github.com/rohitg00/agentmemory,2026-05-18T08:34:22.532407+00:00,weekly,all
3,yikart/AiToEarn,yikart,Let's use AI to Earn!,TypeScript,14945,4687,2473,,https://github.com/yikart/AiToEarn,2026-05-18T08:34:22.532744+00:00,weekly,all
4,anthropics/financial-services,anthropics,,Python,24796,5977,3426,,https://github.com/anthropics/financial-services,2026-05-18T08:34:22.533045+00:00,weekly,all
5,oven-sh/bun,oven-sh,"Incredibly fast JavaScript runtime, bundler, test runner, and package manager – all in one",Rust,91843,2098,4586,,https://github.com/oven-sh/bun,2026-05-18T08:34:22.533376+00:00,weekly,all
6,Imbad0202/academic-research-skills,Imbad0202,Academic Research Skills for Claude Code: research → write → review → revise → finalize,Python,9941,3624,1076,,https://github.com/Imbad0202/academic-research-skills,2026-05-18T08:34:22.533696+00:00,weekly,all
7,mattpocock/skills,mattpocock,Skills for Real Engineers. Straight from my .claude directory.,Shell,90215,19679,7907,,https://github.com/mattpocock/skills,2026-05-18T08:34:22.533985+00:00,weekly,all
8,ruvnet/RuView,ruvnet,"π RuView turns commodity WiFi signals into real-time spatial intelligence, vital sign monitoring, and presence detection — all without a single pixel of video.",Rust,59420,6733,7754,,https://github.com/ruvnet/RuView,2026-05-18T08:34:22.534287+00:00,weekly,all
9,bytedance/UI-TARS-desktop,bytedance,The Open-Source Multimodal AI Agent Stack: Connecting Cutting-Edge AI Models and Agent Infra,TypeScript,34513,2563,3461,,https://github.com/bytedance/UI-TARS-desktop,2026-05-18T08:34:22.534596+00:00,weekly,all
10,apernet/hysteria,apernet,"Hysteria is a powerful, lightning fast and censorship resistant proxy.",Go,21155,1124,2175,,https://github.com/apernet/hysteria,2026-05-18T08:34:22.534910+00:00,weekly,all
